"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"67","@VimalPandya1 thank you so much for the image of the Nano in Myanmar. It has made my day!",FALSE,104,"VimalPandya1",2013-10-05 00:34:28,FALSE,"385997926029209600","386288244234932224","323640618","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",15,FALSE,FALSE,NA,NA
"68","Feel proud to see so many young Indians making their contribution @Google. Lovely place to work! http://t.co/SbQhkzGudG",FALSE,778,NA,2013-10-04 04:48:28,FALSE,NA,"385989777440247808",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",375,FALSE,FALSE,NA,NA
"69","Visited Google HQ today - A terrific company, great innovation &amp; inspiring leadership. Hope India can create a ""Google environment"" one day!",FALSE,591,NA,2013-10-04 04:37:34,FALSE,NA,"385987034449313792",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",657,FALSE,FALSE,NA,NA
"70","@drachintya , pl  write me at Elphinston Bldg, 3fl., Horniman Circle, Mumbai. Will try to help yr son.
RNT",FALSE,85,"drachintya",2013-09-22 15:22:15,FALSE,"380623173076541440","381800617699594241","393432489","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",13,FALSE,FALSE,NA,NA
"71","@DharmilB Will certainly try to do so one day.",FALSE,67,"DharmilB",2013-09-11 17:45:04,FALSE,"377847817051832321","377850294362976256","32722618","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",9,FALSE,FALSE,NA,NA
"72","I compliment Dr. Chandy and all his colleagues for their dedication to treat the patients at the Tata Medical Centre.",FALSE,317,NA,2013-09-11 17:29:45,FALSE,NA,"377846436194697216",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",126,FALSE,FALSE,NA,NA
"73","The Tata Medical Centre in Kolkata now fully occupied, filled mainly with children suffering from Leukemia. Hope we can save many lives.",FALSE,421,NA,2013-09-11 17:24:47,FALSE,NA,"377845186824790016",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",351,FALSE,FALSE,NA,NA
"74","Thank you all for your caring and thoughtful messages .",FALSE,324,NA,2013-07-13 04:07:37,FALSE,NA,"355901301902671873",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",76,FALSE,FALSE,NA,NA
"75","My good friend Dr Amar Bose passed away today. He was respected for his sharp mind and for his humility. The world has lost a great leader.",FALSE,320,NA,2013-07-13 03:47:38,FALSE,NA,"355896273481637888",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",300,FALSE,FALSE,NA,NA
"76","Delighted with fantastic response to AirAsia hiring of flight attendants. Great opportunity for young Indians. Makes me feel very proud.",FALSE,413,NA,2013-04-14 06:15:26,FALSE,NA,"323318562594897920",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",294,FALSE,FALSE,NA,NA
"77","FIPB approval of the airline project between Tatas, Air Asia and Bhatias (cont) http://t.co/yKki64lDPm",FALSE,306,NA,2013-03-06 14:09:36,FALSE,NA,"309304760442421249",NA,"<a href=""http://beta.twitlonger.com"" rel=""nofollow"">TwitLonger Beta</a>","RNTata2000",233,FALSE,FALSE,NA,NA
"78","At the Geneva Motor show - my first after retirement. It is wonderful to meet many close friends again and view all the new cars.",FALSE,336,NA,2013-03-05 13:04:39,FALSE,NA,"308926026929561601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RNTata2000",116,FALSE,FALSE,NA,NA
"79","Life after retirement http://t.co/aJoRlP1u",FALSE,921,NA,2013-01-26 13:41:33,FALSE,NA,"295164576130019329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RNTata2000",847,FALSE,FALSE,NA,NA
"80","Saying Farewell http://t.co/AL8xScL5",FALSE,625,NA,2012-12-28 13:12:28,FALSE,NA,"284648010657456128",NA,"<a href=""http://twitpic.com"" rel=""nofollow"">Twitpic</a>","RNTata2000",853,FALSE,FALSE,NA,NA
"81","My deepest appreciation and thanks for the thoughtful messages for my birthday. I am so deeply touched by the kind sentiments expressed.",FALSE,427,NA,2012-12-28 12:32:08,FALSE,NA,"284637859481264128",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RNTata2000",305,FALSE,FALSE,NA,NA
"82","Most people don't recognise the tremendous potential in Saudi Arabia. It is truly a vibrant business environment with impressive people.",FALSE,291,NA,2012-12-11 21:00:48,FALSE,NA,"278605273491456000",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",173,FALSE,FALSE,NA,NA
"83","A great day! Tatas / JLR signed an agreement to produce Land Rovers in Saudi Arabia. It is the first intl car co. to do this.",FALSE,316,NA,2012-12-11 16:42:15,FALSE,NA,"278540209728131072",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",346,FALSE,FALSE,NA,NA
"84","@julyderek I agree. Such attacks are well planned. Defense measures need to be elaborate to provide real deterrent against future attacks.",FALSE,43,"julyderek",2012-11-26 07:35:13,FALSE,"272965105682100224","272966724993839104","20033906","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",8,FALSE,FALSE,NA,NA
"85","Today is the anniversary of the terrorist attack on Mumbai 4 yrs ago. My sympathies go out all those who were affected by the attack.",FALSE,306,NA,2012-11-26 07:22:17,FALSE,NA,"272963469903527936",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RNTata2000",338,FALSE,FALSE,NA,NA
